Fecha,Gasolina superior,Gasolina regular,"Total
gasolinas",Diesel alto azufre,Diesel bajo azufre,Diesel ultra bajo azufre,Diesel,Gas licuado de petróleo,Gasolina de aviación,Kerosina,Combustible turbo jet,Bunker,Asfalto ,Petcoke,Aceites lubricantes,Grasas lubricantes,Solventes,Naftas,Ceras,Butano,Petróleo reconstituido,MTBE,Orimulsión,Mezclas oleosas,Petróleo crudo,Total importación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan/2001," 373,963.96 "," 177,776.50 ","551,740.46"," 566,101.99 ", - , - ,"566,101.99"," 194,065.74 ", 820.00 ," 33,834.03 ", - ," 214,581.84 "," 27,748.99 ", - , - , - , - , - , - , - ," 715,344.00 "," 8,402.00 ", - , - , - ,"2,312,639.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb/2001," 243,091.07 "," 123,115.99 ","366,207.06"," 489,525.80 ", - , - ,"489,525.80"," 170,703.38 "," 3,054.00 "," 67,439.95 ", - ," 294,609.00 "," 7,503.57 ", - , - , - , - , - , - , - ," 370,166.00 ", - , - , - , - ,"1,769,208.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar/2001," 312,084.38 "," 161,726.42 ","473,810.80"," 575,559.68 ", - , - ,"575,559.68"," 161,837.37 ", 677.00 ," 31,787.29 ", - ," 315,263.80 "," 26,304.32 ", - , - , - , - , - , - , - ," 360,530.00 ", - , - , - , - ,"1,945,770.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr/2001," 285,054.89 "," 127,338.74 ","412,393.63"," 437,745.42 ", - , - ,"437,745.42"," 163,048.64 "," 3,399.00 "," 25,801.18 ", - ," 205,653.00 "," 7,885.89 ", - , - , - , - , - , - , - ," 359,527.00 "," 8,184.00 ", - , - , - ,"1,623,637.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May/2001," 300,913.67 "," 168,730.19 ","469,643.86"," 552,609.13 ", - , - ,"552,609.13"," 171,518.86 ", 585.00 ," 45,529.33 ", - ," 278,371.30 "," 8,443.16 ", - , - , - , - , - , - , - ," 723,346.00 "," 12,680.00 ", - , - , - ,"2,262,726.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun/2001," 333,217.19 "," 152,899.09 ","486,116.28"," 497,855.26 ", - , - ,"497,855.26"," 190,004.42 ", 492.00 ," 64,444.95 ", - ," 218,765.60 "," 6,229.04 ", - , - , - , - , - , - , - ," 360,369.00 ", - , - , - , - ,"1,824,276.55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul/2001," 195,071.86 "," 136,299.13 ","331,370.99"," 302,350.02 ", - , - ,"302,350.02"," 206,022.83 ", 655.00 ," 23,654.10 ", - ," 156,109.00 "," 3,103.99 ", - , - , - , - , - , - , - ," 360,570.00 "," 10,642.00 ", - , - , - ,"1,394,477.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug/2001," 268,153.26 "," 139,365.07 ","407,518.33"," 464,159.13 ", - , - ,"464,159.13"," 100,561.47 ", 607.00 ," 49,890.61 ", - ," 189,692.60 "," 27,821.06 ", - , - , - , - , - , - , - ," 719,303.00 "," 13,357.00 ", - , - , - ,"1,972,910.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep/2001," 308,439.07 "," 233,643.75 ","542,082.82"," 321,952.94 ", - , - ,"321,952.94"," 186,839.02 "," 3,868.00 "," 41,519.91 ", - ," 385,142.30 "," 2,324.85 ", - , - , - , - , - , - , - ," 360,635.00 ", - , - , - , - ,"1,844,364.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct/2001," 305,102.28 "," 141,550.22 ","446,652.50"," 438,989.55 ", - , - ,"438,989.55"," 163,864.20 ", 650.00 ," 32,657.33 ", - ," 214,138.00 "," 1,484.40 ", - , - , - , - , - , - , - ," 717,717.00 "," 19,431.00 ", - , - , - ,"2,035,583.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov/2001," 256,638.19 "," 165,841.46 ","422,479.65"," 440,245.35 ", - , - ,"440,245.35"," 194,722.50 "," 2,988.00 "," 23,876.81 ", - ," 142,282.26 ", 895.44 , - , - , - , - , - , - , - ," 356,364.00 ", - , - , - , - ,"1,583,854.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec/2001," 277,145.05 "," 149,217.67 ","426,362.72"," 479,983.27 ", - , - ,"479,983.27"," 194,329.02 ", 350.00 ," 22,948.95 ", - ," 307,427.20 ", 321.30 , - , - , - , - , - , - , - ," 366,828.00 "," 14,822.00 ", - , - , - ,"1,813,372.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan/2002," 271,479.00 "," 178,585.93 ","450,064.93"," 500,041.32 ", - , - ,"500,041.32"," 168,422.62 ", - ," 25,109.50 ", - ," 332,302.30 "," 1,978.12 ", - , - , - , - , - , - , - ," 724,812.00 "," 11,481.00 ", - , - , - ,"2,214,211.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb/2002," 365,657.75 "," 144,447.25 ","510,105.00"," 686,923.83 ", - , - ,"686,923.83"," 200,141.36 "," 3,499.00 "," 41,050.42 ", - ," 285,980.00 ", 114.00 , - , - , - , - , - , - , - ," 368,318.00 ", - , - , - , - ,"2,096,131.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar/2002," 246,292.60 "," 104,673.64 ","350,966.24"," 432,538.46 ", - , - ,"432,538.46"," 193,422.60 ", 485.00 ," 19,066.89 ", - ," 175,483.30 "," 2,147.65 ", - , - , - , - , - , - , - ," 730,957.00 "," 12,350.00 ", - , - , - ,"1,917,417.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr/2002," 310,256.30 "," 190,339.00 ","500,595.30"," 424,667.36 ", - , - ,"424,667.36"," 218,257.51 ", 441.00 ," 33,748.80 ", - ," 358,010.70 "," 25,060.00 ", - , - , - , - , - , - , - ," 365,663.00 ", - , - , - , - ,"1,926,443.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May/2002," 363,311.76 "," 194,830.10 ","558,141.86"," 497,781.66 ", - , - ,"497,781.66"," 159,299.42 ", 534.00 ," 33,775.30 ", - ," 307,343.57 "," 1,170.05 ", - , - , - , - , - , - , - ," 369,420.00 "," 13,280.00 ", - , - , - ,"1,940,745.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
